date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2025-01-24,SKU0003,19,11,10,32
2025-01-31,SKU0003,11,11,10,32
2025-02-07,SKU0003,11,9,10,32
2025-02-14,SKU0003,11,3,10,32
2025-02-21,SKU0003,0,7,10,32
2025-02-28,SKU0003,7,3,10,32
2025-03-07,SKU0003,0,9,10,32
2025-03-14,SKU0003,0,11,10,32
2025-03-21,SKU0003,9,8,10,32
2025-03-28,SKU0003,14,6,10,32
2025-04-04,SKU0003,3,7,10,32
2025-04-11,SKU0003,0,5,10,32
2025-04-18,SKU0003,0,6,10,32
2025-04-25,SKU0003,0,8,10,32
2025-05-02,SKU0003,0,8,10,32
2025-05-09,SKU0003,0,8,10,32
2025-05-16,SKU0003,5,11,10,32
2025-05-23,SKU0003,18,9,10,32
2025-05-30,SKU0003,23,5,10,32
2025-06-06,SKU0003,12,6,10,32
2025-06-13,SKU0003,2,11,10,32
2025-06-20,SKU0003,4,10,10,32
2025-06-27,SKU0003,6,2,10,32
2025-07-04,SKU0003,13,6,10,32
2025-07-11,SKU0003,14,7,10,32
2025-07-18,SKU0003,10,5,10,32
2025-07-25,SKU0003,16,3,10,32
2025-08-01,SKU0003,16,7,10,32
2025-08-08,SKU0003,26,7,10,32
2025-08-15,SKU0003,21,12,10,32
2025-08-22,SKU0003,37,6,10,32
2025-08-29,SKU0003,37,6,10,32
2024-07-12,SKU0004,964,91,14,391
2024-07-19,SKU0004,947,83,14,391
2024-07-26,SKU0004,999,102,14,391
2024-08-02,SKU0004,1012,100,14,391
2024-08-09,SKU0004,1076,78,14,391
2024-08-16,SKU0004,1038,98,14,391
2024-08-23,SKU0004,1029,82,14,391
2024-08-30,SKU0004,1052,91,14,391
2024-09-06,SKU0004,998,102,14,391
2024-09-13,SKU0004,1089,112,14,391
2024-09-20,SKU0004,1077,87,14,391
2024-09-27,SKU0004,1117,100,14,391
2024-10-04,SKU0004,1077,99,14,391
2024-10-11,SKU0004,995,94,14,391
2024-10-18,SKU0004,962,95,14,391
2024-10-25,SKU0004,924,98,14,391
2024-11-01,SKU0004,961,94,14,391
2024-11-08,SKU0004,983,106,14,391
2024-11-15,SKU0004,839,94,14,391
2024-11-22,SKU0004,801,111,14,391
2024-11-29,SKU0004,843,99,14,391
2024-12-06,SKU0004,878,98,14,391
2024-12-13,SKU0004,829,84,14,391
2024-12-20,SKU0004,782,90,14,391
2024-12-27,SKU0004,715,88,14,391
2025-01-03,SKU0004,578,100,14,391
2025-01-10,SKU0004,551,93,14,391
2025-01-17,SKU0004,550,108,14,391
2025-01-24,SKU0004,495,79,14,391
2025-01-31,SKU0004,531,107,14,391
2025-02-07,SKU0004,520,97,14,391
2025-02-14,SKU0004,565,85,14,391
2025-02-21,SKU0004,503,105,14,391
2025-02-28,SKU0004,474,74,14,391
2025-03-07,SKU0004,419,95,14,391
2025-03-14,SKU0004,386,84,14,391
2025-03-21,SKU0004,408,90,14,391
2025-03-28,SKU0004,369,119,14,391
2025-04-04,SKU0004,358,105,14,391
2025-04-11,SKU0004,413,94,14,391
2025-04-18,SKU0004,449,109,14,391
2025-04-25,SKU0004,454,92,14,391
2025-05-02,SKU0004,437,100,14,391
2025-05-09,SKU0004,441,94,14,391
2025-05-16,SKU0004,467,90,14,391
2025-05-23,SKU0004,479,83,14,391
2025-05-30,SKU0004,511,98,14,391
2025-06-06,SKU0004,332,85,14,391
2025-06-13,SKU0004,346,109,14,391
2025-06-20,SKU0004,352,104,14,391
2025-06-27,SKU0004,317,84,14,391
2025-07-04,SKU0004,365,87,14,391
2025-07-11,SKU0004,340,84,14,391
2025-07-18,SKU0004,317,98,14,391
2025-07-25,SKU0004,351,90,14,391
2025-08-01,SKU0004,281,75,14,391
2025-08-08,SKU0004,354,92,14,391
2025-08-15,SKU0004,420,104,14,391
2025-08-22,SKU0004,448,126,14,391
2025-08-29,SKU0004,501,102,14,391
2024-11-16,SKU0005,625,136,18,597
2024-11-23,SKU0005,520,151,18,597
2024-11-30,SKU0005,541,123,18,597
2024-12-07,SKU0005,534,123,18,597
2024-12-14,SKU0005,413,122,18,597
2024-12-21,SKU0005,378,135,18,597
2024-12-28,SKU0005,230,131,18,597
2025-01-04,SKU0005,89,116,18,597
2025-01-11,SKU0005,61,116,18,597
2025-01-18,SKU0005,129,102,18,597
2025-01-25,SKU0005,91,124,18,597
2025-02-01,SKU0005,138,114,18,597
2025-02-08,SKU0005,210,129,18,597
2025-02-15,SKU0005,172,107,18,597
2025-02-22,SKU0005,83,125,18,597
2025-03-01,SKU0005,74,152,18,597
2025-03-08,SKU0005,34,132,18,597
2025-03-15,SKU0005,2,148,18,597
2025-03-22,SKU0005,10,153,18,597
2025-03-29,SKU0005,0,112,18,597
2025-04-05,SKU0005,83,125,18,597
2025-04-12,SKU0005,184,125,18,597
2025-04-19,SKU0005,228,103,18,597
2025-04-26,SKU0005,268,115,18,597
2025-05-03,SKU0005,235,122,18,597
2025-05-10,SKU0005,207,136,18,597
2025-05-17,SKU0005,201,114,18,597
2025-05-24,SKU0005,239,124,18,597
2025-05-31,SKU0005,233,137,18,597
2025-06-07,SKU0005,69,117,18,597
2025-06-14,SKU0005,52,137,18,597
2025-06-21,SKU0005,94,121,18,597
2025-06-28,SKU0005,60,113,18,597
2025-07-05,SKU0005,128,123,18,597
2025-07-12,SKU0005,130,123,18,597
2025-07-19,SKU0005,199,100,18,597
2025-07-26,SKU0005,238,138,18,597
2025-08-02,SKU0005,229,121,18,597
2025-08-09,SKU0005,274,104,18,597
2025-08-16,SKU0005,320,130,18,597
2025-08-23,SKU0005,294,126,18,597
2025-08-30,SKU0005,360,136,18,597
2024-12-18,SKU0006,269,61,20,298
2024-12-25,SKU0006,252,73,20,298
2025-01-01,SKU0006,200,77,20,298
2025-01-08,SKU0006,206,60,20,298
2025-01-15,SKU0006,194,77,20,298
2025-01-22,SKU0006,189,84,20,298
2025-01-29,SKU0006,146,72,20,298
2025-02-05,SKU0006,153,69,20,298
2025-02-12,SKU0006,122,78,20,298
2025-02-19,SKU0006,124,61,20,298
2025-02-26,SKU0006,163,100,20,298
2025-03-05,SKU0006,165,87,20,298
2025-03-12,SKU0006,212,80,20,298
2025-03-19,SKU0006,249,75,20,298
2025-03-26,SKU0006,283,67,20,298
2025-04-02,SKU0006,268,85,20,298
2025-04-09,SKU0006,284,69,20,298
2025-04-16,SKU0006,236,71,20,298
2025-04-23,SKU0006,229,82,20,298
2025-04-30,SKU0006,176,72,20,298
2025-05-07,SKU0006,133,78,20,298
2025-05-14,SKU0006,172,75,20,298
2025-05-21,SKU0006,193,87,20,298
2025-05-28,SKU0006,175,61,20,298
2025-06-04,SKU0006,165,79,20,298
2025-06-11,SKU0006,139,68,20,298
2025-06-18,SKU0006,142,90,20,298
2025-06-25,SKU0006,161,87,20,298
2025-07-02,SKU0006,214,71,20,298
2025-07-09,SKU0006,187,75,20,298
2025-07-16,SKU0006,154,77,20,298
2025-07-23,SKU0006,99,76,20,298
2025-07-30,SKU0006,88,69,20,298
2025-08-06,SKU0006,105,69,20,298
2025-08-13,SKU0006,110,68,20,298
2025-08-20,SKU0006,118,82,20,298
2025-08-27,SKU0006,121,69,20,298
2023-12-18,SKU0007,480,151,19,677
2023-12-25,SKU0007,408,172,19,677
2024-01-01,SKU0007,281,154,19,677
2024-01-08,SKU0007,367,130,19,677
2024-01-15,SKU0007,415,144,19,677
2024-01-22,SKU0007,395,176,19,677
2024-01-29,SKU0007,416,153,19,677
2024-02-05,SKU0007,385,139,19,677
2024-02-12,SKU0007,385,142,19,677
2024-02-19,SKU0007,386,133,19,677
2024-02-26,SKU0007,384,149,19,677
2024-03-04,SKU0007,434,122,19,677
2024-03-11,SKU0007,488,141,19,677
2024-03-18,SKU0007,472,176,19,677
2024-03-25,SKU0007,500,158,19,677
2024-04-01,SKU0007,517,152,19,677
2024-04-08,SKU0007,549,156,19,677
2024-04-15,SKU0007,613,138,19,677
2024-04-22,SKU0007,719,146,19,677
2024-04-29,SKU0007,786,123,19,677
2024-05-06,SKU0007,762,141,19,677
2024-05-13,SKU0007,732,146,19,677
2024-05-20,SKU0007,659,149,19,677
2024-05-27,SKU0007,683,144,19,677
2024-06-03,SKU0007,702,152,19,677
2024-06-10,SKU0007,581,147,19,677
2024-06-17,SKU0007,616,155,19,677
2024-06-24,SKU0007,726,160,19,677
2024-07-01,SKU0007,645,137,19,677
2024-07-08,SKU0007,756,139,19,677
2024-07-15,SKU0007,704,124,19,677
2024-07-22,SKU0007,668,120,19,677
2024-07-29,SKU0007,642,150,19,677
2024-08-05,SKU0007,704,153,19,677
2024-08-12,SKU0007,686,152,19,677
2024-08-19,SKU0007,638,137,19,677
2024-08-26,SKU0007,678,149,19,677
2024-09-02,SKU0007,687,136,19,677
2024-09-09,SKU0007,679,151,19,677
2024-09-16,SKU0007,678,160,19,677
2024-09-23,SKU0007,667,159,19,677
2024-09-30,SKU0007,739,169,19,677
2024-10-07,SKU0007,737,152,19,677
2024-10-14,SKU0007,714,132,19,677
2024-10-21,SKU0007,681,135,19,677
2024-10-28,SKU0007,691,157,19,677
2024-11-04,SKU0007,665,154,19,677
2024-11-11,SKU0007,624,143,19,677
2024-11-18,SKU0007,492,143,19,677
2024-11-25,SKU0007,484,162,19,677
2024-12-02,SKU0007,486,147,19,677
2024-12-09,SKU0007,507,146,19,677
2024-12-16,SKU0007,534,161,19,677
2024-12-23,SKU0007,507,144,19,677
2024-12-30,SKU0007,302,138,19,677
2025-01-06,SKU0007,192,113,19,677
2025-01-13,SKU0007,194,144,19,677
2025-01-20,SKU0007,138,140,19,677
2025-01-27,SKU0007,207,130,19,677
2025-02-03,SKU0007,264,132,19,677
2025-02-10,SKU0007,297,161,19,677
2025-02-17,SKU0007,279,148,19,677
2025-02-24,SKU0007,220,161,19,677
2025-03-03,SKU0007,207,148,19,677
2025-03-10,SKU0007,191,161,19,677
2025-03-17,SKU0007,201,136,19,677
2025-03-24,SKU0007,231,157,19,677
2025-03-31,SKU0007,236,134,19,677
2025-04-07,SKU0007,216,157,19,677
2025-04-14,SKU0007,271,143,19,677
2025-04-21,SKU0007,233,134,19,677
2025-04-28,SKU0007,194,137,19,677
2025-05-05,SKU0007,100,138,19,677
2025-05-12,SKU0007,183,139,19,677
2025-05-19,SKU0007,239,151,19,677
2025-05-26,SKU0007,230,127,19,677
2025-06-02,SKU0007,85,146,19,677
2025-06-09,SKU0007,0,150,19,677
2025-06-16,SKU0007,0,162,19,677
2025-06-23,SKU0007,0,160,19,677
2025-06-30,SKU0007,7,141,19,677
2025-07-07,SKU0007,0,129,19,677
2025-07-14,SKU0007,10,160,19,677
2025-07-21,SKU0007,12,147,19,677
2025-07-28,SKU0007,0,142,19,677
2025-08-04,SKU0007,0,160,19,677
2025-08-11,SKU0007,14,147,19,677
2025-08-18,SKU0007,0,138,19,677
2025-08-25,SKU0007,0,143,19,677
2025-05-26,SKU0008,311,98,19,425
2025-06-02,SKU0008,309,108,19,425
2025-06-09,SKU0008,208,117,19,425
2025-06-16,SKU0008,209,108,19,425
2025-06-23,SKU0008,202,101,19,425
2025-06-30,SKU0008,222,118,19,425
2025-07-07,SKU0008,190,105,19,425
2025-07-14,SKU0008,203,105,19,425
2025-07-21,SKU0008,184,99,19,425
2025-07-28,SKU0008,179,106,19,425
2025-08-04,SKU0008,172,101,19,425
2025-08-11,SKU0008,126,114,19,425
2025-08-18,SKU0008,92,106,19,425
2025-08-25,SKU0008,67,107,19,425
2024-07-29,SKU0009,724,63,7,252
2024-08-05,SKU0009,776,57,7,252
2024-08-12,SKU0009,812,68,7,252
2024-08-19,SKU0009,767,58,7,252
2024-08-26,SKU0009,763,71,7,252
2024-09-02,SKU0009,751,61,7,252
2024-09-09,SKU0009,688,54,7,252
2024-09-16,SKU0009,799,64,7,252
2024-09-23,SKU0009,759,61,7,252
2024-09-30,SKU0009,762,58,7,252
2024-10-07,SKU0009,840,77,7,252
2024-10-14,SKU0009,823,63,7,252
2024-10-21,SKU0009,804,68,7,252
2024-10-28,SKU0009,820,72,7,252
2024-11-04,SKU0009,828,59,7,252
2024-11-11,SKU0009,811,58,7,252
2024-11-18,SKU0009,721,69,7,252
2024-11-25,SKU0009,732,53,7,252
2024-12-02,SKU0009,748,78,7,252
2024-12-09,SKU0009,831,58,7,252
2024-12-16,SKU0009,965,75,7,252
2024-12-23,SKU0009,762,65,7,252
2024-12-30,SKU0009,619,49,7,252
2025-01-06,SKU0009,564,63,7,252
2025-01-13,SKU0009,572,53,7,252
2025-01-20,SKU0009,615,57,7,252
2025-01-27,SKU0009,625,52,7,252
2025-02-03,SKU0009,624,65,7,252
2025-02-10,SKU0009,570,76,7,252
2025-02-17,SKU0009,452,52,7,252
2025-02-24,SKU0009,548,66,7,252
2025-03-03,SKU0009,555,70,7,252
2025-03-10,SKU0009,546,55,7,252
2025-03-17,SKU0009,602,73,7,252
2025-03-24,SKU0009,559,57,7,252
2025-03-31,SKU0009,587,63,7,252
2025-04-07,SKU0009,590,69,7,252
2025-04-14,SKU0009,664,61,7,252
2025-04-21,SKU0009,594,47,7,252
2025-04-28,SKU0009,665,76,7,252
2025-05-05,SKU0009,607,57,7,252
2025-05-12,SKU0009,617,59,7,252
2025-05-19,SKU0009,591,40,7,252
2025-05-26,SKU0009,635,71,7,252
2025-06-02,SKU0009,589,59,7,252
2025-06-09,SKU0009,368,64,7,252
2025-06-16,SKU0009,144,57,7,252
2025-06-23,SKU0009,69,65,7,252
2025-06-30,SKU0009,96,77,7,252
2025-07-07,SKU0009,0,73,7,252
2025-07-14,SKU0009,66,66,7,252
2025-07-21,SKU0009,35,53,7,252
2025-07-28,SKU0009,0,67,7,252
2025-08-04,SKU0009,0,80,7,252
2025-08-11,SKU0009,0,67,7,252
2025-08-18,SKU0009,0,75,7,252
2025-08-25,SKU0009,0,70,7,252
2024-11-14,SKU0010,980,164,17,697
2024-11-21,SKU0010,1011,165,17,697
2024-11-28,SKU0010,1094,167,17,697
2024-12-05,SKU0010,1091,155,17,697
2024-12-12,SKU0010,1201,157,17,697
2024-12-19,SKU0010,1130,170,17,697
2024-12-26,SKU0010,1001,171,17,697
2025-01-02,SKU0010,771,165,17,697
2025-01-09,SKU0010,827,141,17,697
2025-01-16,SKU0010,880,147,17,697
2025-01-23,SKU0010,795,168,17,697
2025-01-30,SKU0010,881,177,17,697
2025-02-06,SKU0010,806,164,17,697
2025-02-13,SKU0010,841,177,17,697
2025-02-20,SKU0010,930,167,17,697
2025-02-27,SKU0010,1042,168,17,697
2025-03-06,SKU0010,952,165,17,697
2025-03-13,SKU0010,892,176,17,697
2025-03-20,SKU0010,962,150,17,697
2025-03-27,SKU0010,1005,167,17,697
2025-04-03,SKU0010,922,160,17,697
2025-04-10,SKU0010,927,175,17,697
2025-04-17,SKU0010,1029,183,17,697
2025-04-24,SKU0010,1107,171,17,697
2025-05-01,SKU0010,1039,171,17,697
2025-05-08,SKU0010,1078,177,17,697
2025-05-15,SKU0010,1040,180,17,697
2025-05-22,SKU0010,1003,162,17,697
2025-05-29,SKU0010,995,160,17,697
2025-06-05,SKU0010,893,197,17,697
2025-06-12,SKU0010,735,187,17,697
2025-06-19,SKU0010,838,169,17,697
2025-06-26,SKU0010,728,169,17,697
2025-07-03,SKU0010,723,185,17,697
2025-07-10,SKU0010,809,187,17,697
2025-07-17,SKU0010,879,166,17,697
2025-07-24,SKU0010,922,187,17,697
2025-07-31,SKU0010,809,184,17,697
2025-08-07,SKU0010,775,173,17,697
2025-08-14,SKU0010,842,174,17,697
2025-08-21,SKU0010,814,190,17,697
2025-08-28,SKU0010,771,140,17,697
2024-05-29,SKU0011,177,25,13,107
2024-06-05,SKU0011,178,19,13,107
2024-06-12,SKU0011,164,19,13,107
2024-06-19,SKU0011,180,18,13,107
2024-06-26,SKU0011,203,22,13,107
2024-07-03,SKU0011,203,28,13,107
2024-07-10,SKU0011,212,23,13,107
2024-07-17,SKU0011,242,32,13,107
2024-07-24,SKU0011,255,28,13,107
2024-07-31,SKU0011,250,21,13,107
2024-08-07,SKU0011,255,26,13,107
2024-08-14,SKU0011,271,32,13,107
2024-08-21,SKU0011,277,16,13,107
2024-08-28,SKU0011,278,21,13,107
2024-09-04,SKU0011,283,18,13,107
2024-09-11,SKU0011,276,23,13,107
2024-09-18,SKU0011,268,20,13,107
2024-09-25,SKU0011,284,21,13,107
2024-10-02,SKU0011,300,25,13,107
2024-10-09,SKU0011,289,31,13,107
2024-10-16,SKU0011,291,22,13,107
2024-10-23,SKU0011,284,28,13,107
2024-10-30,SKU0011,266,19,13,107
2024-11-06,SKU0011,270,22,13,107
2024-11-13,SKU0011,243,21,13,107
2024-11-20,SKU0011,191,21,13,107
2024-11-27,SKU0011,214,24,13,107
2024-12-04,SKU0011,193,22,13,107
2024-12-11,SKU0011,174,24,13,107
2024-12-18,SKU0011,159,24,13,107
2024-12-25,SKU0011,143,16,13,107
2025-01-01,SKU0011,119,26,13,107
2025-01-08,SKU0011,108,31,13,107
2025-01-15,SKU0011,118,16,13,107
2025-01-22,SKU0011,112,20,13,107
2025-01-29,SKU0011,92,26,13,107
2025-02-05,SKU0011,97,18,13,107
2025-02-12,SKU0011,117,17,13,107
2025-02-19,SKU0011,105,24,13,107
2025-02-26,SKU0011,100,17,13,107
2025-03-05,SKU0011,105,19,13,107
2025-03-12,SKU0011,106,25,13,107
2025-03-19,SKU0011,111,18,13,107
2025-03-26,SKU0011,113,20,13,107
2025-04-02,SKU0011,130,21,13,107
2025-04-09,SKU0011,121,17,13,107
2025-04-16,SKU0011,151,17,13,107
2025-04-23,SKU0011,153,28,13,107
2025-04-30,SKU0011,163,26,13,107
2025-05-07,SKU0011,177,17,13,107
2025-05-14,SKU0011,170,29,13,107
2025-05-21,SKU0011,166,16,13,107
2025-05-28,SKU0011,170,30,13,107
2025-06-04,SKU0011,145,24,13,107
2025-06-11,SKU0011,104,22,13,107
2025-06-18,SKU0011,125,20,13,107
2025-06-25,SKU0011,103,22,13,107
2025-07-02,SKU0011,107,24,13,107
2025-07-09,SKU0011,102,22,13,107
2025-07-16,SKU0011,108,18,13,107
2025-07-23,SKU0011,93,26,13,107
2025-07-30,SKU0011,83,25,13,107
2025-08-06,SKU0011,47,25,13,107
2025-08-13,SKU0011,44,26,13,107
2025-08-20,SKU0011,52,19,13,107
2025-08-27,SKU0011,51,17,13,107
2025-03-17,SKU0012,339,31,6,133
2025-03-24,SKU0012,317,39,6,133
2025-03-31,SKU0012,325,28,6,133
2025-04-07,SKU0012,400,39,6,133
2025-04-14,SKU0012,391,30,6,133
2025-04-21,SKU0012,371,28,6,133
2025-04-28,SKU0012,403,29,6,133
2025-05-05,SKU0012,395,30,6,133
2025-05-12,SKU0012,363,21,6,133
2025-05-19,SKU0012,323,30,6,133
2025-05-26,SKU0012,258,34,6,133
2025-06-02,SKU0012,281,32,6,133
2025-06-09,SKU0012,139,36,6,133
2025-06-16,SKU0012,72,28,6,133
2025-06-23,SKU0012,97,33,6,133
2025-06-30,SKU0012,100,30,6,133
2025-07-07,SKU0012,176,32,6,133
2025-07-14,SKU0012,153,32,6,133
2025-07-21,SKU0012,121,35,6,133
2025-07-28,SKU0012,154,28,6,133
2025-08-04,SKU0012,84,24,6,133
2025-08-11,SKU0012,74,34,6,133
2025-08-18,SKU0012,63,26,6,133
2025-08-25,SKU0012,63,34,6,133
2025-02-28,SKU0013,104,14,13,68
2025-03-07,SKU0013,110,22,13,68
2025-03-14,SKU0013,104,18,13,68
2025-03-21,SKU0013,125,21,13,68
2025-03-28,SKU0013,140,19,13,68
2025-04-04,SKU0013,140,21,13,68
2025-04-11,SKU0013,156,19,13,68
2025-04-18,SKU0013,148,15,13,68
2025-04-25,SKU0013,156,18,13,68
2025-05-02,SKU0013,161,24,13,68
2025-05-09,SKU0013,164,19,13,68
2025-05-16,SKU0013,146,21,13,68
2025-05-23,SKU0013,122,16,13,68
2025-05-30,SKU0013,108,15,13,68
2025-06-06,SKU0013,100,11,13,68
2025-06-13,SKU0013,89,21,13,68
2025-06-20,SKU0013,93,24,13,68
2025-06-27,SKU0013,97,19,13,68
2025-07-04,SKU0013,96,15,13,68
2025-07-11,SKU0013,85,21,13,68
2025-07-18,SKU0013,87,16,13,68
2025-07-25,SKU0013,82,16,13,68
2025-08-01,SKU0013,63,11,13,68
2025-08-08,SKU0013,85,21,13,68
2025-08-15,SKU0013,70,15,13,68
2025-08-22,SKU0013,49,18,13,68
2025-08-29,SKU0013,55,8,13,68
2024-07-04,SKU0014,196,31,9,106
2024-07-11,SKU0014,167,26,9,106
2024-07-18,SKU0014,170,23,9,106
2024-07-25,SKU0014,202,27,9,106
2024-08-01,SKU0014,228,31,9,106
2024-08-08,SKU0014,218,42,9,106
2024-08-15,SKU0014,211,27,9,106
2024-08-22,SKU0014,205,29,9,106
2024-08-29,SKU0014,195,23,9,106
2024-09-05,SKU0014,240,21,9,106
2024-09-12,SKU0014,222,28,9,106
2024-09-19,SKU0014,220,25,9,106
2024-09-26,SKU0014,192,25,9,106
2024-10-03,SKU0014,199,27,9,106
2024-10-10,SKU0014,182,23,9,106
2024-10-17,SKU0014,153,21,9,106
2024-10-24,SKU0014,155,26,9,106
2024-10-31,SKU0014,148,25,9,106
2024-11-07,SKU0014,170,16,9,106
2024-11-14,SKU0014,104,33,9,106
2024-11-21,SKU0014,112,22,9,106
2024-11-28,SKU0014,118,26,9,106
2024-12-05,SKU0014,112,24,9,106
2024-12-12,SKU0014,134,26,9,106
2024-12-19,SKU0014,129,24,9,106
2024-12-26,SKU0014,94,28,9,106
2025-01-02,SKU0014,16,23,9,106
2025-01-09,SKU0014,35,25,9,106
2025-01-16,SKU0014,32,26,9,106
2025-01-23,SKU0014,38,27,9,106
2025-01-30,SKU0014,20,22,9,106
2025-02-06,SKU0014,16,17,9,106
2025-02-13,SKU0014,0,27,9,106
2025-02-20,SKU0014,2,21,9,106
2025-02-27,SKU0014,3,29,9,106
2025-03-06,SKU0014,30,25,9,106
2025-03-13,SKU0014,21,28,9,106
2025-03-20,SKU0014,17,28,9,106
2025-03-27,SKU0014,22,20,9,106
2025-04-03,SKU0014,0,27,9,106
2025-04-10,SKU0014,0,35,9,106
2025-04-17,SKU0014,10,26,9,106
2025-04-24,SKU0014,17,34,9,106
2025-05-01,SKU0014,33,28,9,106
