date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2025-08-27,SKU0112,96,215,20,1138
2025-08-28,SKU0113,625,183,20,811
2025-08-26,SKU0114,77,13,20,54
2025-08-31,SKU0115,791,61,5,236
2025-08-26,SKU0116,2003,72,6,290
2025-08-29,SKU0117,148,76,6,323
2025-08-28,SKU0118,15,37,9,104
2025-08-27,SKU0119,440,79,7,294
2025-08-26,SKU0120,151,247,19,939
2025-08-26,SKU0121,83,55,8,238
2025-08-31,SKU0122,1161,155,18,657
2025-08-28,SKU0123,354,212,16,697
2025-08-30,SKU0124,159,58,10,257
2025-08-31,SKU0125,0,26,5,108
2025-08-26,SKU0126,158,36,6,188
2025-08-26,SKU0127,567,78,13,329
2025-08-29,SKU0128,210,51,11,224
2025-08-26,SKU0129,68,41,9,198
2025-08-26,SKU0130,551,115,11,505
2025-08-27,SKU0131,0,17,14,77
2025-08-29,SKU0132,428,195,15,637
2025-08-27,SKU0133,436,40,6,175
2025-08-28,SKU0134,429,83,19,386
2025-08-31,SKU0135,131,18,11,57
2025-08-28,SKU0136,40,21,18,75
2025-08-25,SKU0137,555,98,8,249
2025-08-25,SKU0138,778,134,12,657
2025-08-25,SKU0139,887,180,20,691
2025-08-28,SKU0140,142,85,20,369
2025-08-30,SKU0141,414,61,13,214
2025-08-30,SKU0142,875,58,9,256
2025-08-28,SKU0143,855,162,17,580
2025-08-31,SKU0144,197,40,11,137
2025-08-28,SKU0145,91,56,13,338
2025-08-25,SKU0146,560,76,9,394
2025-08-29,SKU0147,1222,122,17,576
2025-08-28,SKU0148,181,17,6,58
2025-08-28,SKU0149,607,55,14,252
2025-08-26,SKU0150,262,31,15,152
2025-08-25,SKU0151,116,10,7,30
2025-08-29,SKU0152,182,37,11,138
2025-08-31,SKU0153,34,164,14,683
2025-08-29,SKU0154,858,59,9,252
2025-08-28,SKU0155,359,96,13,439
2025-08-25,SKU0156,795,204,20,775
2025-08-25,SKU0157,612,106,16,548
2025-08-25,SKU0158,808,133,16,519
2025-08-25,SKU0159,237,16,8,73
2025-08-28,SKU0160,134,28,13,118
2025-08-31,SKU0161,159,125,18,584
2025-08-29,SKU0162,181,95,14,497
2025-08-30,SKU0163,1175,93,10,356
2025-08-27,SKU0164,262,65,11,277
2025-08-26,SKU0165,83,23,18,79
2025-08-29,SKU0166,24,79,11,340
2025-08-29,SKU0167,66,56,12,253
2025-08-31,SKU0168,725,94,17,406
2025-08-29,SKU0169,647,43,5,151
2025-08-31,SKU0170,1145,94,9,377
2025-08-27,SKU0171,94,137,15,605
2025-08-28,SKU0172,316,26,9,108
2025-08-31,SKU0173,229,22,5,89
2025-08-29,SKU0174,613,188,15,740
2025-08-25,SKU0175,1601,184,16,635
2025-08-31,SKU0176,101,86,14,396
2025-08-27,SKU0177,674,337,20,1486
2025-08-28,SKU0178,293,32,7,117
2025-08-29,SKU0179,1338,213,19,953
2025-08-29,SKU0180,1437,239,20,1075
2025-08-26,SKU0181,123,80,16,237
2025-08-29,SKU0182,1,14,12,55
2025-08-29,SKU0183,502,18,5,61
2025-08-28,SKU0184,701,114,10,412
2025-08-31,SKU0185,1164,69,7,328
2025-08-30,SKU0186,584,87,14,298
2025-08-28,SKU0187,656,170,16,683
2025-08-27,SKU0188,864,222,19,1109
2025-08-30,SKU0189,118,189,11,792
2025-08-28,SKU0190,1053,65,6,292
2025-08-31,SKU0191,117,196,19,690
2025-08-30,SKU0192,133,52,18,230
2025-08-31,SKU0193,290,41,19,150
2025-08-29,SKU0194,52,33,19,120
2025-08-28,SKU0195,473,67,10,241
2025-08-29,SKU0196,300,51,13,223
2025-08-27,SKU0197,0,142,13,552
2025-08-30,SKU0198,188,58,20,274
2025-08-31,SKU0199,65,204,16,929
2025-08-27,SKU0200,60,13,5,49
