sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0061,furniture,Chairs,2024-01-01,355.52,749.92
SKU0062,Decor,Rugs,2025-04-02,2092.43,5126.47
SKU0063,Textiles,Cushions,2023-10-01,848.77,1429.41
SKU0064,Décor,Wall Art,2025-06-26,339.63,627.75
SKU0065,Décor,Rugs,2023-11-11,3358.82,4911.78
SKU0066,FURNITURE,Storage,2025-04-08,3625.21,9336.67
SKU0067,Textile,Cushions,2025-02-27,2623.56,6125.48
SKU0068,Décor,Wall Art,2024-04-14,3451.65,6749.22
SKU0069,Décor,Rugs,2024-11-21,1175.88,1843.45
SKU0070,Decor,Lighting,2024-10-27,1564.92,2878.94
SKU0071,decor,Lighting,2024-05-23,2790.11,4900.14
SKU0072,textiles,Throws,2025-04-20,1414.19,2888.51
SKU0073,Textile,Cushions,2024-11-30,3246.91,6621.32
SKU0074,FURNITURE,Tables,2024-01-02,929.26,2075.74
SKU0075,textiles,Throws,2023-12-02,2515.36,3808.54
SKU0076,FURNITURE,Storage,2024-09-01,679.02,1731.95
SKU0077,Textile,Cushions,2024-10-20,3163.1,7446.37
SKU0078,furniture,Storage,2025-01-18,515.94,1103.8
SKU0079,FURNITURE,Chairs,2024-09-30,2353.86,4611.64
SKU0080,Small Appl.,Climate,2025-06-06,2044.79,4333.96
SKU0081,textiles,Throws,2023-11-23,600.85,904.43
SKU0082,decor,Lighting,2025-06-07,2734.24,4922.63
SKU0083,textiles,Throws,2025-02-15,1191.56,2188.93
SKU0084,Furniture,Chairs,2025-07-04,3754.09,7228.44
SKU0085,Décor,Wall Art,2025-01-23,,5750.81
SKU0086,Décor,Rugs,2023-12-07,3948.53,8928.86
SKU0087,Textiles,Cushions,2023-11-22,3424.55,7412.4
SKU0088,decor,Wall Art,2023-09-23,197.37,383.92
SKU0089,Textiles,Cushions,2024-03-25,1915.41,3698.23
SKU0090,Textile,Bedding,2025-01-29,575.77,1494.95
SKU0091,textiles,Throws,2024-03-17,3372.05,5151.49
SKU0092,small appliances,Cleaning,2023-12-05,498.2,1233.76
SKU0093,FURNITURE,Chairs,2024-02-16,700.63,1633.95
SKU0094,textiles,Bedding,2024-03-21,289.23,406.81
SKU0095,Furniture,Storage,2024-10-29,3235.7,5456.24
SKU0096,FURNITURE,Storage,2024-12-12,3722.01,8659.37
SKU0097,Small Appliances,Cleaning,2025-04-09,304.58,500.16
SKU0098,decor,Wall Art,2024-09-12,2575.55,6236.33
SKU0099,Furniture,Storage,2025-01-27,893.21,1540.71
SKU0100,textiles,Throws,2025-02-06,359.83,769.88
SKU0101,furniture,Chairs,2025-05-11,,4633.35
SKU0102,FURNITURE,Chairs,2024-05-21,1915.46,4483.89
SKU0103,small appliances,Cleaning,2024-10-05,708.75,1796.84
SKU0104,decor,Wall Art,2024-09-11,2649.55,6699.95
SKU0105,Furniture,Tables,2024-08-21,1705.53,3358.19
SKU0106,Furniture,Chairs,2025-06-25,1323.11,2531.75
SKU0107,Small Appl.,Climate,2024-11-18,1735.47,3280.97
SKU0108,Decor,Wall Art,2024-10-26,288.83,549.38
SKU0109,Décor,Wall Art,2024-02-05,2353.96,4893.71
SKU0110,small appliances,Cleaning,2024-10-16,1367.42,3206.49
SKU0111,decor,Wall Art,2024-06-28,2560.15,4692.21
SKU0112,Small Appl.,Climate,2024-09-25,3696.07,7408.25
SKU0113,Décor,Wall Art,2025-03-13,1360.64,3272.15
SKU0114,Furniture,Tables,2023-10-10,3391.67,4974.5
SKU0115,Furniture,Tables,2024-04-21,816.03,1449.82
SKU0116,FURNITURE,Storage,2024-07-02,3447.71,6366.93
SKU0117,furniture,Chairs,2024-10-25,610.74,1122.48
SKU0118,Textile,Throws,2024-07-11,1347.2,2997.79
SKU0119,Small Appl.,Cleaning,2024-05-29,2617.42,3698.08
SKU0120,Decor,Wall Art,2024-07-23,788.74,1895.79
SKU0121,textiles,Throws,2024-09-24,3380.42,8749.83
SKU0122,Décor,Wall Art,2025-04-13,458.19,1056.77
SKU0123,Decor,Lighting,2024-07-25,730.09,1180.64
SKU0124,Furniture,Storage,2024-11-16,1274.43,2533.87
SKU0125,decor,Rugs,2024-08-11,473.84,801.93
SKU0126,small appliances,Cleaning,2024-09-24,2730.28,6321.92
SKU0127,FURNITURE,Storage,2024-05-14,2227.18,4022.62
SKU0128,decor,Rugs,2024-09-06,3430.26,6880.24
SKU0129,textiles,Bedding,2024-10-15,3423.56,6192.22
SKU0130,Decor,Lighting,2024-08-27,1684.43,4212.43
SKU0131,Small Appliances,Climate,2024-01-03,1454.59,2370.87
SKU0132,textiles,Bedding,2024-12-27,1334.01,2825.66
SKU0133,FURNITURE,Tables,2024-03-13,2856.68,6171.92
SKU0134,small appliances,Cleaning,2025-05-08,3081.52,7654.48
SKU0135,Small Appliances,Kitchen,2025-07-06,3160.72,7712.67
SKU0136,small appliances,Kitchen,2025-03-20,2279.45,4980.42
SKU0137,Textile,Bedding,2025-07-21,1259.68,2872.71
SKU0138,Decor,Rugs,2023-09-04,307.65,717.69
SKU0139,Decor,Rugs,2025-07-21,1940.15,4992.98
SKU0140,Small Appliances,Climate,2024-11-28,2288.53,5406.59
SKU0141,Textile,Cushions,2025-03-29,292.34,540.02
SKU0142,FURNITURE,Chairs,2025-06-14,2896.04,6743.33
SKU0143,Textile,Throws,2025-01-30,3233.36,4716.68
SKU0144,Small Appl.,Kitchen,2024-02-11,167.33,337.6
SKU0145,small appliances,Climate,2023-09-21,1695.22,4195.27
SKU0146,FURNITURE,Storage,2024-06-17,1489.92,3611.59
SKU0147,furniture,Storage,2024-10-18,1678.22,2902.97
SKU0148,Furniture,Storage,2024-12-19,1466.42,3315.82
SKU0149,textiles,Cushions,2025-07-31,1290.99,2439.36
SKU0150,decor,Wall Art,2024-01-09,2848.39,6022.22
SKU0151,Decor,Lighting,2025-06-02,2063.13,3221.04
SKU0152,Furniture,Tables,2024-05-03,218.02,423.82
SKU0153,Small Appl.,Cleaning,2024-04-28,1768.47,4511.46
SKU0154,Decor,Rugs,2025-07-18,3603.44,6061.41
SKU0155,Decor,Rugs,2025-05-29,2188.74,5013.93
SKU0156,Small Appliances,Climate,2023-09-18,1079.28,1928.66
SKU0157,Furniture,Tables,2025-05-05,1240.5,2572.53
SKU0158,small appliances,Cleaning,2024-11-18,1983.59,5144.72
SKU0159,small appliances,Kitchen,2025-03-24,3624.83,8500.62
SKU0160,Decor,Wall Art,2024-04-11,2663.75,6783.02
SKU0161,decor,Rugs,2024-06-30,287.99,734.87
SKU0162,Furniture,Chairs,2023-10-06,402.29,782.91
SKU0163,Décor,Rugs,2024-04-06,346.2,531.04
SKU0164,FURNITURE,Tables,2025-05-21,947.03,1669.13
SKU0165,Décor,Wall Art,2024-06-18,156.39,239.98
SKU0166,furniture,Storage,2023-11-17,2034.58,3661.66
SKU0167,Decor,Lighting,2025-02-28,3388.63,5802.75
SKU0168,furniture,Chairs,2025-06-01,2780.54,4654.36
SKU0169,decor,Wall Art,2025-06-13,336.99,658.12
SKU0170,Furniture,Storage,2024-10-27,682.09,1706.99
SKU0171,FURNITURE,Storage,2024-01-10,270.44,414.52
SKU0172,furniture,Tables,2023-11-02,2422.25,5860.2
SKU0173,FURNITURE,Chairs,2025-04-20,2533.61,4041.85
SKU0174,Textiles,Throws,2024-03-22,3687.36,7173.2
SKU0175,Small Appliances,Cleaning,2025-07-21,1541.91,3663.26
SKU0176,small appliances,Kitchen,2023-11-19,982.97,1864.53
SKU0177,Décor,Rugs,2023-10-25,264.86,480.93
SKU0178,FURNITURE,Chairs,2024-12-05,2876.15,6575.73
SKU0179,decor,Wall Art,2025-05-16,2436.25,3779.19
SKU0180,Small Appliances,Kitchen,2023-10-13,2103.08,5447.25
SKU0181,furniture,Storage,2023-09-12,3973.38,8350.32
SKU0182,Textile,Bedding,2023-11-03,2214.37,4752.37
SKU0183,furniture,Storage,2023-10-06,2439.09,4277.45
SKU0184,Textiles,Cushions,2024-01-11,2443.5,4099.06
SKU0185,textiles,Throws,2024-02-25,2501.47,5163.66
SKU0186,Small Appl.,Climate,2024-09-07,2332.71,5388.81
SKU0187,Textiles,Bedding,2024-06-20,2131.14,3015.49
SKU0188,Décor,Rugs,2024-06-26,512.18,1263.85
SKU0189,Decor,Wall Art,2024-12-21,725.09,1851.78
SKU0190,FURNITURE,Chairs,2025-06-05,3663.44,6061.44
SKU0191,Décor,Rugs,2025-01-26,3531.71,6550.84
SKU0192,Small Appl.,Climate,2024-11-30,3164.4,6594.36
SKU0193,furniture,Storage,2025-05-25,3482.45,8210.63
SKU0194,FURNITURE,Chairs,2024-06-28,239.09,615.67
SKU0195,Décor,Rugs,2025-01-16,3567.15,6683.25
SKU0196,small appliances,Kitchen,2024-10-04,,3661.08
SKU0197,textiles,Cushions,2024-07-24,907.46,1681.2
SKU0198,Furniture,Tables,2024-04-20,2785.56,5034.55
SKU0199,textiles,Throws,2024-02-18,530.86,1223.21
SKU0200,Furniture,Storage,2024-07-31,865.2,1753.25
SKU0059,textiles,Bedding,2024-04-05,703.91,1763.41
SKU0041,Textiles,Bedding,2025-05-18,2147.6,3820.83
SKU0035,Decor,Wall Art,2023-11-16,2738.12,4757.43
SKU0103,small appliances,Cleaning,2024-10-05,708.75,1796.84
SKU0185,textiles,Throws,2024-02-25,2501.47,5163.66
